2021-12-20 09:31:27.500 -03 [6708] LOG:  database system was shut down at 2021-12-19 21:35:45 -03
2021-12-20 09:31:27.716 -03 [5988] LOG:  database system is ready to accept connections
2021-12-20 10:44:30.558 -03 [7004] LOG:  could not rename temporary statistics file "pg_stat_tmp/global.tmp" to "pg_stat_tmp/global.stat": Permission denied
2021-12-20 10:44:34.939 -03 [6604] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-12-20 10:52:00.872 -03 [7004] LOG:  could not rename temporary statistics file "pg_stat_tmp/global.tmp" to "pg_stat_tmp/global.stat": Permission denied
2021-12-20 10:52:05.522 -03 [4124] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-12-20 15:25:24.708 -03 [7004] LOG:  could not rename temporary statistics file "pg_stat_tmp/global.tmp" to "pg_stat_tmp/global.stat": Permission denied
2021-12-20 15:25:28.725 -03 [676] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-12-21 13:36:03.191 -03 [7004] LOG:  could not rename temporary statistics file "pg_stat_tmp/global.tmp" to "pg_stat_tmp/global.stat": Permission denied
2021-12-21 13:36:07.004 -03 [9868] LOG:  using stale statistics instead of current ones because stats collector is not responding
